,stimulus,X,Food_image,Study,HI_LO_fat,food,Total.kcal,CHO_g,PRO_g,Fat_g,CHO_pctKcal,PRO_pctKcal,Fat_pctKcal,Energy_Density,...13,sugar_g,sugar_pct_kcal
110,shreddedwheatwithmilk,109,shreddedwheatwithmilk.jpg,DDM,0,Shredded wheat (1 biscuit) w/ 1% milk (1/2 C),89.347,16.904,4.66,1.17,68.351,20.547,11.308,0.89,NA,6.584,19.34266094
111,Skim milk,110,Skim milk.jpg,REFCT,0,Skim milk,34,4.96,3.37,0.08,56.456,42.323,2.068,0.34,NA,5.09,59.88235294
112,skittles,111,skittles.jpg,DDM,0,Skittles,405.643,91.7107,0,4.409917,90.2,0,9.8,4.05,NA,78.389,81.57405914
113,soup with spoon,112,soup with spoon.jpg,REFCT,0,Minestrone Soup (chunky ),38,6.235,1.714,0.812,65.418,15.569,19.012,0.38,NA,1.58,16.909699
114,sour patch,113,sour patch.jpg,REFCT,0,Sour patch kids candy,371.428,92.857,0,0,100,0,0,3.71,NA,62.499,71.91583986
115,soy chips,114,soy chips.jpg,REFCT,0,Soy crisps,361.103,50,27.777,5.555,55.4,30.8,13.8,3.61,NA,4.743,4.380512584
116,steak,115,steak.jpg,REFCT,1,Steak: T-bone,291,0,25.85,20.04,0,37.931,62.117,2.91,NA,0,0
117,strawberries,116,strawberries.jpg,REFCT,0,Strawberries,32,7.68,0.67,0.3,86.4,7.035,7.847,0.32,NA,4.89,61.125
118,string cheese,117,string cheese.jpg,REFCT,1,String cheese,302,3.83,25.96,20.03,4.908,36.705,58.299,3.02,NA,1.9,2.576271186
119,sunchips,118,sunchips.jpg,DDM,1,Sun Chips,478.57,64.2857,7.1428,21.4285,53.7,6,40.3,4.78,NA,4.188,3.502763193
120,sushi w_condiments,119,sushi w_condiments.jpg,REFCT,0,Sushi w/ condiments,126,16.485,6.75,3.796,52.98,21.59,25.363,1.26,NA,1.176,5.054151625
121,swedishfish,120,swedishfish.jpg,DDM,0,Swedish Fish,360,90,0,0,100,0,0,3.6,NA,NA,NA
122,sweetpotato,121,sweetpotato.jpg,CAT,0,Sweet Potato,97.11,21.83,2.11,0.15,89.9,8.7,1.4,0.97,NA,6.48,28.8
123,tacos,122,tacos.jpg,REFCT,1,Taco: beef (Taco Bell soft supreme) ),181,15.61,7.954,9.548,35.083,18.236,46.651,1.81,NA,2.036,5.111243606
124,trail mix,123,trail mix.jpg,REFCT,1,Trail mix,462,44.9,13.8,29.4,35.959,10.455,53.455,4.62,NA,27.76,24.03463203
125,trailmix,124,trailmix.jpg,CAT,1,Chocolate trail mix,496.5,43.33,13.33,30,34.9,10.7,54.4,4.965,NA,27.3,22.70364672
126,Tribe humus pita,125,Tribe humus pita.jpg,REFCT,1,Tribe hummus w/pita chips,246.817,32.564,8.5928,9.7984,53.712,12.487,33.851,2.46,NA,4.313,3.102035239
127,triscuits,126,triscuits.jpg,CAT,0,Triscuit,457.142,71.4285,10.7142,14.285,62.5,9.4,28.1,4.57,NA,0.395,0.365034332
128,tuna,127,tuna.jpg,CAT,0,Tuna (white albacore in water) - Bumble Bee,92.857,0,23.214,0,0,100,0,0.92,NA,0,0
129,turkey sandwich,128,turkey sandwich.jpg,REFCT,0,Turkey on roll w/ lettuce and tomato,130.776,15.211,10.975,2.614,47.085,34.952,17.828,1.3,NA,NA,NA
130,turkeydelimeat,129,turkeydelimeat.jpg,CAT,0,Turkey breast - Oscar Mayer Deli Select,94.6428,3.5714,16.0714,1.7857,15.094,67.92,16.98,0.94,NA,0.178,0.775607577
131,turkeysandwich,130,turkeysandwich.jpg,DDM,0,Turkey sandwich (roll w/ lettuce and tomato),163.028,18.1585,17.4235,2.3,44.55,42.75,12.7,1.6,NA,2.235,3.354168699
132,veggieswithdip,131,veggieswithdip.jpg,DDM,1,Veggies w/ ranch dip (Lays),133.46,5.8867,2.4414,11.1548,17.6,7.3,75.1,1.33,NA,6.828,5.566652264
133,wheatbread,132,wheatbread.jpg,CAT,0,Wheat Bread - Pepperidge Farm 100% WW,265.116,46.5116,9.3023,4.6511,70.175,14.035,15.789,2.65,NA,4.34,6.888888889
134,whitebread,133,whitebread.jpg,CAT,0,White Bread - Pepperidge Farm Hearty White,273.255,51.1627,9.3023,3.4883,74.893,13.617,11.489,2.73,NA,5.67,8.526315789
135,Whole milk,134,Whole milk.jpg,REFCT,1,Whole milk,60,4.52,3.22,3.25,30.133,21.467,48.75,0.6,NA,5.05,33.1147541
136,yellow popcorn,135,yellow popcorn.jpg,REFCT,1,Yellow popcorn,538,50.012,8.307,35.715,37.434,4.212,58.385,5.38,NA,0.629,0.475088088
137,yellow rice_beans,136,yellow rice_beans.jpg,DDM,0,Rice & Beans,129,25.485,5.68,0.39,81.706,15.705,2.54,1.29,NA,0.541,0.931205274
138,yogurt no spoon,137,yogurt no spoon.jpg,REFCT,0,Yogurt w/ granola & strawberries,129.7,21.18,3.6978,3.9275,62.952,10.853,25.975,1.29,NA,NA,NA
139,yogurt pretzels,138,yogurt pretzels.jpg,REFCT,1,Yogurt pretzels,451,71.732,7.97,15.55,62.623,6.931,30.439,4.51,NA,46.016,42.72212422
